//Format: textureName,x,y,collider?,invisible?
//Big tiles left
Big,0,672,1,0
Big,0,624,1,0
Big,0,576,1,0
Big,0,528,1,0
Big,0,480,1,0
Big,0,432,1,0
Big,0,384,1,0
Big,0,336,1,0
Big,0,288,1,0
Big,0,240,1,0
Big,0,192,1,0
Big,0,144,1,0
Big,0,96,1,0
Big,0,48,1,1

//Big tiles right
Big,720,672,1,0
Big,720,624,1,0
Big,720,576,1,0
Big,720,528,1,0
Big,720,480,1,0
Big,720,432,1,0
Big,720,384,1,0
Big,720,336,1,0
Big,720,288,1,0
Big,720,240,1,0
Big,720,192,1,0
Big,720,144,1,0
Big,720,96,1,0
Big,720,48,1,1

//Bottom floor
Small,48,672,1,0
Small,72,672,1,0
Small,96,672,1,0
Small,120,672,1,0
Small,144,672,1,0
Small,168,672,1,0
Small,192,672,1,0
Small,216,672,1,0
Small,240,672,1,0
Small,264,672,1,0
Small,288,672,1,0
Small,312,672,1,0
Small,336,672,1,0
Small,360,672,1,0
Small,384,672,1,0
Small,408,672,1,0
Small,432,672,1,0
Small,456,672,1,0
Small,480,672,1,0
Small,504,672,1,0
Small,528,672,1,0
Small,552,672,1,0
Small,576,672,1,0
Small,600,672,1,0
Small,624,672,1,0
Small,648,672,1,0
Small,672,672,1,0
Small,696,672,1,0

//Upper floor
Small,48,72,0,1
Small,72,72,0,1
Small,96,72,0,1
Small,120,72,0,1
Small,144,72,0,1
Small,168,72,0,1
Small,192,72,0,1
Small,216,72,0,1
Small,240,72,0,1
Small,264,72,0,1
Small,288,72,0,1
Small,312,72,0,1
Small,336,72,0,1
Small,360,72,0,1
Small,384,72,0,1
Small,408,72,0,1
Small,432,72,0,1
Small,456,72,0,1
Small,480,72,0,1
Small,504,72,0,1
Small,528,72,0,1
Small,552,72,0,1
Small,576,72,0,1
Small,600,72,0,1
Small,624,72,0,1
Small,648,72,0,1
Small,672,72,0,1
Small,696,72,0,1

//Floor 1
Small,48,552,1,0
Small,72,552,1,0
Small,168,552,1,0
Small,192,552,1,0
Small,216,552,1,0
Small,240,552,1,0
Small,264,552,1,0
Small,288,552,1,0
Small,312,552,1,0
Small,336,552,1,0
Small,360,552,1,0
Small,384,552,1,0
Small,408,552,1,0
Small,432,552,1,0
Small,456,552,1,0
Small,480,552,1,0
Small,504,552,1,0
Small,528,552,1,0
Small,552,552,1,0
Small,576,552,1,0
Small,672,552,1,0
Small,696,552,1,0

//Floor 2
Small,48,432,1,0
Small,72,432,1,0
Small,168,432,1,0
Small,192,432,1,0
Small,216,432,1,0
Small,240,432,1,0
Small,264,432,1,0
Small,288,432,1,0
Small,312,432,1,0
Small,336,432,1,0
Small,360,432,1,0
Small,384,432,1,0
Small,408,432,1,0
Small,432,432,1,0
Small,456,432,1,0
Small,480,432,1,0
Small,504,432,1,0
Small,528,432,1,0
Small,552,432,1,0
Small,576,432,1,0
Small,672,432,1,0
Small,696,432,1,0

//Floor 3
Small,48,312,1,0
Small,72,312,1,0
Small,168,312,1,0
Small,192,312,1,0
Small,216,312,1,0
Small,240,312,1,0
Small,264,312,1,0
Small,288,312,1,0
Small,312,312,1,0
Small,336,312,1,0
Small,360,312,1,0
Small,384,312,1,0
Small,408,312,1,0
Small,432,312,1,0
Small,456,312,1,0
Small,480,312,1,0
Small,504,312,1,0
Small,528,312,1,0
Small,552,312,1,0
Small,576,312,1,0
Small,672,312,1,0
Small,696,312,1,0

//Players
Player,92, 620, true
Player,676, 620, false

//ZenChans
ZenChan,550, 200
ZenChan,475, 200
ZenChan,400, 200
ZenChan,325, 200
